Category: All categories

Week,Fortnite: (Worldwide),pubg: (Worldwide),Apex legends: (Worldwide)
2014-02-16,<1,<1,0
2014-02-23,<1,<1,<1
2014-03-02,<1,<1,0
2014-03-09,<1,0,<1
2014-03-16,<1,<1,<1
2014-03-23,<1,<1,0
2014-03-30,<1,0,<1
2014-04-06,<1,<1,<1
2014-04-13,<1,0,<1
2014-04-20,<1,<1,<1
2014-04-27,<1,<1,<1
2014-05-04,<1,0,0
2014-05-11,<1,0,<1
2014-05-18,<1,<1,<1
2014-05-25,<1,<1,0
2014-06-01,<1,<1,<1
2014-06-08,<1,0,<1
2014-06-15,<1,0,<1
2014-06-22,<1,0,<1
2014-06-29,<1,<1,0
2014-07-06,<1,<1,<1
2014-07-13,<1,<1,<1
2014-07-20,<1,<1,<1
2014-07-27,<1,<1,<1
2014-08-03,<1,<1,<1
2014-08-10,<1,<1,<1
2014-08-17,<1,<1,<1
2014-08-24,<1,<1,<1
2014-08-31,<1,<1,0
2014-09-07,<1,<1,<1
2014-09-14,<1,<1,0
2014-09-21,<1,0,0
2014-09-28,<1,<1,<1
2014-10-05,<1,<1,<1
2014-10-12,<1,<1,<1
2014-10-19,<1,<1,<1
2014-10-26,<1,<1,<1
2014-11-02,<1,0,<1
2014-11-09,<1,0,<1
2014-11-16,<1,0,0
2014-11-23,<1,0,0
2014-11-30,<1,<1,<1
2014-12-07,<1,0,<1
2014-12-14,<1,<1,<1
2014-12-21,<1,0,<1
2014-12-28,<1,<1,<1
2015-01-04,<1,<1,<1
2015-01-11,<1,<1,<1
2015-01-18,<1,<1,<1
2015-01-25,<1,<1,<1
2015-02-01,<1,<1,<1
2015-02-08,<1,<1,<1
2015-02-15,<1,0,<1
2015-02-22,<1,<1,<1
2015-03-01,<1,<1,<1
2015-03-08,<1,0,0
2015-03-15,<1,<1,<1
2015-03-22,<1,0,0
2015-03-29,<1,<1,<1
2015-04-05,<1,<1,0
2015-04-12,<1,0,<1
2015-04-19,<1,<1,<1
2015-04-26,<1,0,<1
2015-05-03,<1,<1,0
2015-05-10,<1,0,0
2015-05-17,<1,0,0
2015-05-24,<1,<1,0
2015-05-31,<1,<1,0
2015-06-07,<1,<1,<1
2015-06-14,<1,<1,<1
2015-06-21,<1,<1,<1
2015-06-28,<1,0,<1
2015-07-05,<1,<1,<1
2015-07-12,<1,<1,<1
2015-07-19,<1,<1,<1
2015-07-26,<1,<1,<1
2015-08-02,<1,<1,<1
2015-08-09,<1,0,<1
2015-08-16,<1,0,0
2015-08-23,<1,0,<1
2015-08-30,<1,<1,<1
2015-09-06,<1,<1,<1
2015-09-13,<1,<1,<1
2015-09-20,<1,<1,<1
2015-09-27,<1,<1,<1
2015-10-04,<1,<1,<1
2015-10-11,<1,<1,<1
2015-10-18,<1,<1,<1
2015-10-25,<1,0,<1
2015-11-01,<1,<1,<1
2015-11-08,<1,<1,<1
2015-11-15,<1,<1,0
2015-11-22,<1,<1,<1
2015-11-29,<1,<1,0
2015-12-06,<1,<1,<1
2015-12-13,<1,<1,<1
2015-12-20,<1,<1,<1
2015-12-27,<1,0,<1
2016-01-03,<1,<1,0
2016-01-10,<1,0,<1
2016-01-17,<1,<1,<1
2016-01-24,<1,<1,<1
2016-01-31,<1,<1,<1
2016-02-07,<1,0,<1
2016-02-14,<1,<1,<1
2016-02-21,<1,0,<1
2016-02-28,<1,<1,<1
2016-03-06,<1,<1,<1
2016-03-13,<1,<1,<1
2016-03-20,<1,0,<1
2016-03-27,<1,0,<1
2016-04-03,<1,<1,<1
2016-04-10,<1,<1,<1
2016-04-17,<1,0,0
2016-04-24,<1,<1,<1
2016-05-01,<1,<1,<1
2016-05-08,<1,<1,<1
2016-05-15,<1,0,<1
2016-05-22,<1,<1,<1
2016-05-29,<1,<1,<1
2016-06-05,<1,<1,<1
2016-06-12,<1,<1,<1
2016-06-19,<1,<1,<1
2016-06-26,<1,<1,0
2016-07-03,<1,<1,<1
2016-07-10,<1,<1,<1
2016-07-17,<1,<1,<1
2016-07-24,<1,<1,<1
2016-07-31,<1,<1,<1
2016-08-07,<1,0,0
2016-08-14,<1,0,<1
2016-08-21,<1,<1,<1
2016-08-28,<1,<1,<1
2016-09-04,<1,0,<1
2016-09-11,<1,<1,<1
2016-09-18,<1,<1,<1
2016-09-25,<1,0,<1
2016-10-02,<1,<1,<1
2016-10-09,<1,<1,<1
2016-10-16,<1,<1,<1
2016-10-23,<1,<1,<1
2016-10-30,<1,<1,<1
2016-11-06,<1,<1,<1
2016-11-13,<1,<1,<1
2016-11-20,<1,<1,<1
2016-11-27,<1,0,<1
2016-12-04,<1,<1,<1
2016-12-11,<1,<1,<1
2016-12-18,<1,<1,<1
2016-12-25,<1,<1,<1
2017-01-01,<1,<1,<1
2017-01-08,<1,0,<1
2017-01-15,<1,<1,<1
2017-01-22,<1,<1,<1
2017-01-29,<1,<1,<1
2017-02-05,<1,<1,<1
2017-02-12,<1,<1,<1
2017-02-19,<1,<1,<1
2017-02-26,<1,<1,<1
2017-03-05,<1,<1,<1
2017-03-12,<1,<1,<1
2017-03-19,<1,<1,<1
2017-03-26,<1,<1,<1
2017-04-02,<1,1,<1
2017-04-09,<1,1,<1
2017-04-16,<1,1,<1
2017-04-23,<1,1,<1
2017-04-30,<1,1,<1
2017-05-07,<1,1,<1
2017-05-14,<1,2,<1
2017-05-21,<1,2,<1
2017-05-28,<1,2,<1
2017-06-04,<1,2,<1
2017-06-11,<1,2,<1
2017-06-18,<1,2,<1
2017-06-25,<1,3,0
2017-07-02,<1,3,<1
2017-07-09,1,3,<1
2017-07-16,3,3,0
2017-07-23,6,4,<1
2017-07-30,3,5,<1
2017-08-06,2,5,<1
2017-08-13,1,5,<1
2017-08-20,1,6,<1
2017-08-27,1,6,<1
2017-09-03,1,5,0
2017-09-10,1,7,<1
2017-09-17,2,7,<1
2017-09-24,7,6,0
2017-10-01,8,6,0
2017-10-08,7,6,<1
2017-10-15,6,6,<1
2017-10-22,8,6,0
2017-10-29,8,6,<1
2017-11-05,7,6,<1
2017-11-12,7,6,<1
2017-11-19,8,7,0
2017-11-26,9,6,<1
2017-12-03,13,8,0
2017-12-10,13,12,<1
2017-12-17,12,13,<1
2017-12-24,13,12,<1
2017-12-31,15,11,<1
2018-01-07,17,12,<1
2018-01-14,28,10,<1
2018-01-21,32,10,0
2018-01-28,30,10,<1
2018-02-04,30,10,<1
2018-02-11,33,9,<1
2018-02-18,43,10,<1
2018-02-25,51,10,<1
2018-03-04,51,10,<1
2018-03-11,88,11,<1
2018-03-18,78,21,<1
2018-03-25,80,20,0
2018-04-01,82,17,<1
2018-04-08,95,16,<1
2018-04-15,78,16,<1
2018-04-22,73,15,<1
2018-04-29,98,14,0
2018-05-06,84,14,0
2018-05-13,86,18,<1
2018-05-20,73,15,<1
2018-05-27,75,16,<1
2018-06-03,70,15,<1
2018-06-10,91,14,<1
2018-06-17,70,16,<1
2018-06-24,86,15,<1
2018-07-01,71,13,<1
2018-07-08,95,14,<1
2018-07-15,82,15,<1
2018-07-22,100,18,<1
2018-07-29,77,15,0
2018-08-05,89,15,<1
2018-08-12,81,17,<1
2018-08-19,87,17,<1
2018-08-26,79,16,<1
2018-09-02,73,17,<1
2018-09-09,68,22,<1
2018-09-16,70,17,<1
2018-09-23,94,16,<1
2018-09-30,72,16,<1
2018-10-07,75,17,0
2018-10-14,70,17,<1
2018-10-21,73,21,<1
2018-10-28,70,19,<1
2018-11-04,65,18,<1
2018-11-11,61,19,0
2018-11-18,62,21,<1
2018-11-25,65,20,<1
2018-12-02,87,22,<1
2018-12-09,70,22,<1
2018-12-16,74,29,<1
2018-12-23,92,27,<1
2018-12-30,79,24,<1
2019-01-06,64,22,<1
2019-01-13,68,25,<1
2019-01-20,60,25,<1
2019-01-27,79,26,<1
2019-02-03,67,24,28
